intersection69,1.600,1.200,0.000,0.200,0.200,0.000,5
nasa_ames,2.667,2.333,1.667,1.000,1.000,0.333,3
crown_startup_funds_wrong1,2.667,2.667,0.667,0.333,0.333,0.000,3
bush1,2.667,1.667,0.000,1.000,1.000,0.000,3
intersection22,1.167,1.167,0.000,0.000,0.000,0.000,6
stop_sign_33,1.167,1.000,1.167,0.167,0.167,0.167,6
parking_lot_aisle0,1.400,1.400,0.000,0.600,0.600,0.000,5
intersection29,1.400,1.200,0.000,0.200,0.200,0.000,5
intersection8,1.400,1.200,0.000,0.200,0.200,0.000,5
intersection43,1.400,1.000,0.000,0.200,0.200,0.000,5
parking_lot_aisle2,1.750,1.250,0.000,0.750,0.750,0.000,4
intersection0,1.750,1.000,0.000,0.500,0.500,0.000,4
driveway6,1.750,1.750,0.000,0.000,0.000,0.000,4
stop_sign_11,2.333,1.667,2.333,0.333,0.333,0.333,3
parking_lot_aisle39,1.000,1.000,0.000,0.000,0.000,0.000,6
road43,1.500,1.000,0.000,0.750,0.500,0.000,4
road9,1.500,1.250,0.000,0.500,0.500,0.000,4
intersection60,1.500,1.000,0.000,0.250,0.250,0.000,4
commissary_parking_lot,2.000,1.333,0.667,0.333,0.333,0.000,3
orion_nose,3.000,3.000,1.000,1.500,1.500,0.500,2
control_tower,6.000,4.000,2.000,5.000,4.000,1.000,1
stop_sign_17,1.250,1.250,1.250,0.000,0.000,0.000,4
driveway15,1.250,1.000,0.000,0.250,0.250,0.000,4
intersection46,1.250,1.000,0.000,0.000,0.000,0.000,4
intersection1,1.250,1.000,0.000,0.250,0.250,0.000,4
intersection5,1.250,1.000,0.000,0.000,0.000,0.000,4
parking_spot0,1.667,1.667,0.333,0.667,0.667,0.000,3
stop_sign_57,1.667,1.333,1.667,1.000,1.000,1.000,3
parking_lot_6,1.667,1.333,0.333,0.000,0.000,0.000,3
parking_lot_aisle66,1.667,1.333,0.000,0.667,0.667,0.000,3
intersection83,1.667,1.667,0.000,0.667,0.667,0.000,3
yellow_fence,1.667,1.667,1.333,0.000,0.000,0.000,3
road1,1.667,1.000,0.000,1.000,0.667,0.000,3
parking_lot_23,2.500,2.000,0.500,0.500,0.500,0.000,2
intersection37,2.500,1.500,0.000,0.500,0.500,0.000,2
parking_lot_19,5.000,3.000,0.000,0.000,0.000,0.000,1
parking_lot_21,1.000,1.000,0.500,0.000,0.000,0.000,4
parking_lot_20,1.000,1.000,0.500,0.000,0.000,0.000,4
stop_sign_63,1.000,1.000,1.000,0.000,0.000,0.000,4
intersection105,1.000,1.000,0.000,0.250,0.250,0.000,4
parking_lot_aisle44,1.000,1.000,0.000,0.250,0.250,0.000,4
intersection14,1.000,1.000,0.000,0.000,0.000,0.000,4
parking_lot_aisle36,1.000,1.000,0.000,0.500,0.500,0.000,4
white_pickup_perpetually_parked_at_mcdonalds,1.000,1.000,0.500,0.000,0.000,0.000,4
intersection64,1.000,1.000,0.000,0.000,0.000,0.000,4
intersection63,1.000,1.000,0.000,0.000,0.000,0.000,4
gas_lane1,1.333,1.000,0.000,0.333,0.333,0.000,3
street6,1.333,1.000,0.000,0.000,0.000,0.000,3
road136,1.333,1.000,0.000,0.333,0.333,0.000,3
the_M,1.333,1.333,0.667,0.667,0.667,0.333,3
intersection78,1.333,1.000,0.000,0.000,0.000,0.000,3
intersection73,1.333,1.000,0.000,0.333,0.333,0.000,3
parking_lot_aisle38,1.333,1.000,0.000,0.000,0.000,0.000,3
crown_startup_funds_wrong0,2.000,2.000,0.500,0.000,0.000,0.000,2
building1,4.000,3.000,0.000,2.000,2.000,0.000,1
parking_lot_24,1.000,1.000,0.000,0.667,0.667,0.000,3
road42,1.000,1.000,0.000,0.000,0.000,0.000,3
stop_sign_69,1.000,1.000,1.000,0.000,0.000,0.000,3
missile,1.000,1.000,0.333,0.333,0.333,0.000,3
intersection17,1.000,1.000,0.000,0.000,0.000,0.000,3
intersection98,1.000,1.000,0.000,0.000,0.000,0.000,3
street3,1.000,1.000,0.000,0.000,0.000,0.000,3
intersection89,1.000,1.000,0.000,0.333,0.333,0.000,3
intersection80,1.000,1.000,0.000,0.000,0.000,0.000,3
intersection31,1.000,1.000,0.000,0.333,0.333,0.000,3
parking_lot_aisle56,1.000,1.000,0.000,0.000,0.000,0.000,3
parking_lot_aisle50,1.000,1.000,0.000,0.000,0.000,0.000,3
driveway0,1.000,1.000,0.000,0.333,0.333,0.000,3
intersection61,1.000,1.000,0.000,0.000,0.000,0.000,3
intersection25,1.500,1.000,0.000,0.500,0.500,0.000,2
parking_lot_aisle45,1.500,1.500,0.000,1.000,1.000,0.000,2
intersection11,1.500,1.000,0.000,0.500,0.500,0.000,2
stop_sign_54,1.500,1.000,1.500,0.500,0.500,0.500,2
road138,1.500,1.500,0.000,0.500,0.500,0.000,2
gas_station_driveway,1.500,1.500,0.500,0.500,0.500,0.000,2
building7,3.000,2.000,0.000,2.000,1.000,0.000,1
building8,3.000,3.000,0.000,1.000,1.000,0.000,1
road177,3.000,2.000,0.000,0.000,0.000,0.000,1
road55,3.000,3.000,0.000,0.000,0.000,0.000,1
parking_spot101,3.000,1.000,0.000,1.000,1.000,0.000,1
barracks_wrong0_parking,3.000,2.000,1.000,1.000,1.000,0.000,1
conference_center_parking_lot1,3.000,2.000,2.000,0.000,0.000,0.000,1
gas_lane2,1.000,1.000,0.000,1.000,1.000,0.000,2
intersection23,1.000,1.000,0.000,0.000,0.000,0.000,2
intersection24,1.000,1.000,0.000,0.000,0.000,0.000,2
intersection100,1.000,1.000,0.000,0.000,0.000,0.000,2
crown_startup_funds_parking1,1.000,1.000,0.000,0.000,0.000,0.000,2
stop_sign_10,1.000,1.000,1.000,0.000,0.000,0.000,2
parking_lot_aisle42,1.000,1.000,0.000,0.000,0.000,0.000,2
building5,1.000,1.000,0.000,0.000,0.000,0.000,2
intersection18,1.000,1.000,0.000,0.000,0.000,0.000,2
driveway10,1.000,1.000,0.000,0.500,0.500,0.000,2
parking_spot1,1.000,1.000,0.000,1.000,1.000,0.000,2
stop_sign_9,1.000,1.000,1.000,0.000,0.000,0.000,2
intersection119,1.000,1.000,0.000,0.000,0.000,0.000,2
driveway26,1.000,1.000,0.000,0.000,0.000,0.000,2
parking_lot_aisle35,1.000,1.000,0.000,0.500,0.500,0.000,2
intersection97,1.000,1.000,0.000,0.000,0.000,0.000,2
road10,1.000,1.000,0.000,0.500,0.500,0.000,2
road15,1.000,1.000,0.000,0.500,0.500,0.000,2
stop_sign_47,1.000,1.000,0.500,0.000,0.000,0.000,2
solar_panel,1.000,1.000,0.500,0.000,0.000,0.000,2
road128,1.000,1.000,0.000,0.000,0.000,0.000,2
bush0,1.000,1.000,0.000,0.500,0.500,0.000,2
bowling_alley_parking_lot,1.000,1.000,1.000,0.000,0.000,0.000,2
intersection35,1.000,1.000,0.000,0.000,0.000,0.000,2
intersection33,1.000,1.000,0.000,0.000,0.000,0.000,2
research_park_roundabout,1.000,1.000,0.000,1.000,1.000,0.000,2
parking_lot_aisle52,1.000,1.000,0.000,0.000,0.000,0.000,2
driveway5,1.000,1.000,0.000,0.000,0.000,0.000,2
driveway2,1.000,1.000,0.000,0.000,0.000,0.000,2
singularity_university,1.000,1.000,0.500,0.500,0.500,0.500,2
intersection67,1.000,1.000,0.000,0.000,0.000,0.000,2
road148,1.000,1.000,0.000,0.000,0.000,0.000,2
stop_sign_26,1.000,1.000,1.000,0.000,0.000,0.000,2
parking_lot_aisle12,2.000,2.000,0.000,0.000,0.000,0.000,1
parking_lot_aisle16,2.000,2.000,0.000,1.000,1.000,0.000,1
parking_lot_aisle4,2.000,2.000,0.000,1.000,1.000,0.000,1
intersection199,2.000,1.000,0.000,1.000,1.000,0.000,1
intersection108,2.000,2.000,0.000,0.000,0.000,0.000,1
road156,2.000,2.000,0.000,1.000,1.000,0.000,1
building2,2.000,1.000,0.000,1.000,1.000,0.000,1
parking_spot139,2.000,1.000,0.000,0.000,0.000,0.000,1
parking_spot44,2.000,2.000,0.000,1.000,1.000,0.000,1
parking_spot40,2.000,2.000,0.000,2.000,2.000,0.000,1
driveway17,2.000,2.000,0.000,0.000,0.000,0.000,1
parking_spot52,2.000,2.000,0.000,1.000,1.000,0.000,1
parking_lot_7,2.000,2.000,2.000,1.000,1.000,1.000,1
parking_lot_aisle65,2.000,2.000,0.000,2.000,2.000,0.000,1
baseball_field,2.000,2.000,0.000,1.000,1.000,0.000,1
parking_lot_aisle64,2.000,1.000,0.000,1.000,1.000,0.000,1
intersection76,2.000,1.000,0.000,1.000,1.000,0.000,1
parking_spot110,2.000,1.000,0.000,2.000,1.000,0.000,1
road153,2.000,2.000,0.000,0.000,0.000,0.000,1
stop_sign_39,2.000,1.000,2.000,1.000,1.000,1.000,1
stop_sign_31,2.000,2.000,2.000,1.000,1.000,1.000,1
